English,German,Portuguese
I,Ich,EU
is,ist,é
I,ich,EU
not,nicht,não
She,Sie,Ela
of,du,de
the,das,o
the,die,o
is,es,é
and,und,e
the,der,o
to,zu,para
she,sie,ela
The,Das,O
a,ein,a
in,in,em
we,wir,nós
Of,Du,De
to me,mir,para mim
with,mit,com
Was,Was,Era
the,den,o
me,mich,meu
was,was,era
on,auf,sobre
that,dass,que
is,er,é
one,eine,um
Is,Es,É
has,hat,tem
We,Wir,Nós
And,Und,E
so,so,então
are,sind,são
from,von,de
you,dich,você
war,war,guerra
have,haben,ter
for,für,para
And,Ja,E
here,hier,aqui
an,an,um
have,habe,ter
Is,Er,É
bin,bin,BIN
How,wie,Como
still,noch,ainda
You,dir,Você
us,uns,nós
itself,sich,em si
The,Die,O
only,nur,apenas
a,einen,a
No,Nein,Não
to the,dem,para o
him,ihn,ele
also,auch,também
hast,hast,Hast
be,sein,ser
her,ihr,dela
and,da,e
out of,aus,fora de
can,kann,pode
but,aber,mas
But,Aber,Mas
already,schon,já
if,wenn,se
becomes,wird,torna-se
one,um,um
How,Wie,Como
when,als,quando
are you,bist,você é
in the,im,no
just,mal,apenas
but,doch,mas
gut,gut,intestino
think,meine,pensar
now,jetzt,agora
white,weiß,branco
If,Wenn,Se
become,werden,tornar-se
The,Der,O
after,nach,depois
and,ja,e
Oh,Oh,Oh
or,oder,ou
then,dann,então
will,will,vai
my,mein,meu
more,mehr,mais
no,keine,não
something,etwas,algo
everything,alles,tudo
must,muss,deve
always,immer,sempre
nothing,nichts,nada
man,man,homem
again,wieder,de novo
at,bei,no
order,hab,ordem
make,machen,fazer
before,vor,antes
Mann,Mann,Mann
him,ihm,ele
a,einem,a
yet,tun,ainda
for the,zum,para o
can,können,pode
say,sagen,dizer
become,werde,tornar-se
then,denn,então
Is,Ist,É
A,Ein,A
Why,Warum,Por que
one,einer,um
go,gehen,ir
see,sehen,ver
very,sehr,muito
goes,geht,vai
to,alle,para
above,über,acima
must,müssen,deve
this,diese,esse
simply,einfach,simplesmente
you,euch,você
of the,des,do
NO,nie,NÃO
Also,Also,Também
Where,Wo,Onde
the,los,o
Time,Zeit,Tempo
Them,Ihnen,Eles
gives,gibt,dá
really,wirklich,realmente
Hey,Hey,Ei
Thanks,Danke,Obrigado
your,deine,seu
would,würde,seria
should,soll,deve
And,Da,E
had,hatte,tive
Here,Hier,Aqui
knowledge,wissen,conhecimento
please,bitte,por favor
much,viel,muito
Then,Dann,Então
So,So,Então
said,gesagt,disse
Her,Ihr,Dela
am,am,sou
no,kein,não
Come on,Komm,Vamos
Who,Wer,Quem
return,zurück,retornar
became,wurde,tornou-se
In,In,Em
wanted,wollte,desejado
Woman,Frau,Mulher
Life,Leben,Vida
were,wäre,eram
where,wo,onde
with it,damit,com isso
Not,Nicht,Não
Good,Gott,Bom
People,Leute,Pessoas
can,kannst,pode
today,heute,hoje
think,meinen,pensar
this,dieser,esse
your,dein,seu
comes,kommt,vem
come,kommen,vir
want,willst,querer
Na,Na,N / D
want,wollen,querer
secure,sicher,seguro
quite,ganz,bastante
Now,Jetzt,Agora
My,Mein,Meu
Mr,Mr,Senhor
also,also,também
to the,zur,para o
Hast,Hast,Hast
Gut,Gut,Intestino
had,hätte,tive
because,weil,porque
Tut,tut,Tut
Hello,Hallo,Olá
Okay,Okay,OK
might,macht,poder
were,waren,eram
until,bis,até
Perhaps,Vielleicht,Talvez
could,könnte,poderia
One,Eine,Um
Please,Bitte,Por favor
away,weg,ausente
his,seine,dele
permit,lassen,permitir
Father,Vater,Pai